neighborhood,avg_asking_rent,market_sale_price_unit,inventory_units,asset_value_billions,vacancy_rate,median_income,early_education_enrollment,reading_test_scores_3rd_to_8th_grade,math_test_scores_3rd_to_8th_grade,graduation_rate,walk_score,transit_score,bike_score,subway_station_count,avg_routes_per_station,percent_ada_accessible,restaurant_count,cuisine_diversity,avg_restaurant_score,percent_a_grade,critical_violation_share,green_space_count,total_green_acres,avg_green_acres,percent_waterfront,education_score,movement_score,restaurant_score,green_score
upper east side,4643,629000,58593,37.2,1.8,157507.05089,0.83177,0.72788,0.74161,0.78974,99,100,81,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,1.414061114057672,0.5015233736693857,0.3523996309870766,-0.6799244571079635
upper west side,5389,633000,57869,36.6,2.6,148568.52455,0.88347,0.64087,0.59609,0.74555,NA,NA,NA,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,1.0695323139637012,0.5238934602854376,0.3523996309870766,-0.6799244571079635
midtown west,5036,755000,34194,27.4,3,122291.36764,0.70235,0.73077,0.71429,0.71077,NA,NA,NA,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,0.7818869802240236,0.5238934602854376,0.3523996309870766,-0.6799244571079635
prospect park,3293,374000,69129,27.1,4.6,161651.34214,0.78537,0.63275,0.61538,0.7433,98,100,89,169,1.44378698224852,0.27810650887574,7002,82,13.3536206130609,0.818904154941235,0.477435018566124,628,4864.046,7.74529617834395,0.0652866242038217,0.8545686170954351,0.43291001971712073,-0.054112879109941135,0.4014317476030904
lower west side,5375,867000,29324,25.5,2.1,NA,NA,NA,NA,NA,NA,NA,NA,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.5238934602854376,0.3523996309870766,-0.6799244571079635
williamsburg,4635,515000,44562,23.4,4.6,91865.12284,NA,NA,NA,NA,96,87.5,89.5,169,1.44378698224852,0.27810650887574,7002,82,13.3536206130609,0.818904154941235,0.477435018566124,628,4864.046,7.74529617834395,0.0652866242038217,NA,0.10192247541320193,-0.054112879109941135,0.4014317476030904
chelsea,5580,834000,26908,23.3,2.6,122291.36764,NA,NA,NA,NA,99,100,95,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.7278974080191426,0.3523996309870766,-0.6799244571079635
downtown brooklyn,4677,598000,32101,19.7,9.4,110996.49514,NA,NA,NA,NA,NA,NA,NA,169,1.44378698224852,0.27810650887574,7002,82,13.3536206130609,0.818904154941235,0.477435018566124,628,4864.046,7.74529617834395,0.0652866242038217,NA,0.09547851130797608,-0.054112879109941135,0.4014317476030904
bushwick,2909,341000,55081,18.9,3.9,61494.6389,0.664675,0.273625,0.215055,0.566105,95,98,84,169,1.44378698224852,0.27810650887574,7002,82,13.3536206130609,0.818904154941235,0.477435018566124,628,4864.046,7.74529617834395,0.0652866242038217,-1.0563925204543665,0.22651194998629426,-0.054112879109941135,0.4014317476030904
financial district,5900,838000,19139,18.8,8.9,173731.66335,NA,NA,NA,NA,99,100,90,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.6470495386085152,0.3523996309870766,-0.6799244571079635
long island city,4340,588000,28868,17.4,6.4,NA,NA,NA,NA,NA,NA,NA,NA,82,1.50602409638554,0.349397590361446,6261,81,14.3308724832215,0.796191553544495,0.471011020603737,476,7715.61038687,16.2092655186345,0.107142857142857,NA,-0.8342810470531974,-0.12291766353428307,0.9889419970903554
east village,5144,539000,31811,17.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.5238934602854376,0.3523996309870766,-0.6799244571079635
harlem,2589,336000,48949,16.5,2.5,51461.280985,0.621655,0.26653,0.209365,0.713595,96.5,100,77.5,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,-0.574846484337264,0.37841995153623575,0.3523996309870766,-0.6799244571079635
flatbush,2102,245000,62592,15.5,1.1,64973.19741,0.61256,0.33359,0.25984,0.62356,89,93.3333333333333,70.3333333333333,169,1.44378698224852,0.27810650887574,7002,82,13.3536206130609,0.818904154941235,0.477435018566124,628,4864.046,7.74529617834395,0.0652866242038217,-0.8110336531456371,-0.2608187283982688,-0.054112879109941135,0.4014317476030904
upper manhattan,2324,266000,56034,14.9,1.5,65079.1230633333,0.57432,0.281133333333333,0.250283333333333,0.675223333333333,96,99.3333333333333,70.6666666666667,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,-0.7677592054634678,0.2393797792774538,0.3523996309870766,-0.6799244571079635
midtown east,5032,772000,15427,14.3,2.5,NA,NA,NA,NA,NA,99,100,78,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.4530146520230093,0.3523996309870766,-0.6799244571079635
west bronx,1614,146000,92936,13.6,0.6,43483.160572,0.53286,0.253006,0.226831,0.655518,86.9285714285714,90.7857142857143,64.9285714285714,70,1.41428571428571,0.3,2392,59,12.9772434521254,0.831908831908832,0.464046822742475,398,7294.45436646,18.3277747901005,0.0804020100502513,-1.002718045009058,-0.9539171915430635,-0.9922520308181324,0.28977577854761993
murray hillkips bay,5282,671000,20106,13.6,6.3,134765.01279,NA,NA,NA,NA,99,100,89,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.6308799647263896,0.3523996309870766,-0.6799244571079635
midtown south,5159,751000,17894,13.5,1.9,173731.66335,0.81291,0.76652,0.81736,0.62867,100,100,93.5,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,0.8627451654118905,0.7302470126142387,0.3523996309870766,-0.6799244571079635
northwestern queens,2668,292000,44481,13.2,1.1,75569.909925,NA,NA,NA,NA,NA,NA,NA,82,1.50602409638554,0.349397590361446,6261,81,14.3308724832215,0.796191553544495,0.471011020603737,476,7715.61038687,16.2092655186345,0.107142857142857,NA,-0.8342810470531974,-0.12291766353428307,0.9889419970903554
south bronx,2094,183000,67996,12.9,3.3,27142.5495233333,NA,NA,NA,NA,NA,NA,NA,70,1.41428571428571,0.3,2392,59,12.9772434521254,0.831908831908832,0.464046822742475,398,7294.45436646,18.3277747901005,0.0804020100502513,NA,-1.1353606507129865,-0.9922520308181324,0.28977577854761993
central queens,2334,265000,47867,12.8,1.3,85899.31005,0.55907625,0.45680125,0.44956875,0.71079,87.1764705882353,85.2352941176471,64.3529411764706,82,1.50602409638554,0.349397590361446,6261,81,14.3308724832215,0.796191553544495,0.471011020603737,476,7715.61038687,16.2092655186345,0.107142857142857,-0.199168819317874,-0.9631313479671019,-0.12291766353428307,0.9889419970903554
lower east side,4602,647000,15039,9.8,2.5,47467.48411,0.76087,0.48275,0.533,0.68913,NA,NA,NA,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,0.2914857243679633,0.5238934602854376,0.3523996309870766,-0.6799244571079635
southwest brooklyn,1764,234000,39812,9.4,1.2,67249.6996075,0.632644285714286,0.4843,0.505141428571429,0.719034285714286,92.4444444444444,91.4444444444444,74.1111111111111,169,1.44378698224852,0.27810650887574,7002,82,13.3536206130609,0.818904154941235,0.477435018566124,628,4864.046,7.74529617834395,0.0652866242038217,0.0971757329312018,-0.15129507779786552,-0.054112879109941135,0.4014317476030904
east harlem,2962,423000,21392,9.3,3,NA,NA,NA,NA,NA,NA,NA,NA,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.5238934602854376,0.3523996309870766,-0.6799244571079635
south shore brooklyn,2179,286000,30282,8.7,1.4,58394.21499,NA,NA,NA,NA,NA,NA,NA,169,1.44378698224852,0.27810650887574,7002,82,13.3536206130609,0.818904154941235,0.477435018566124,628,4864.046,7.74529617834395,0.0652866242038217,NA,0.09547851130797608,-0.054112879109941135,0.4014317476030904
southeast queens,2203,271000,30572,8.4,3.7,83675.1711025,NA,NA,NA,NA,NA,NA,NA,82,1.50602409638554,0.349397590361446,6261,81,14.3308724832215,0.796191553544495,0.471011020603737,476,7715.61038687,16.2092655186345,0.107142857142857,NA,-0.8342810470531974,-0.12291766353428307,0.9889419970903554
northeast queens,2105,229000,24172,5.6,1.1,74125.5736533333,NA,NA,NA,NA,NA,NA,NA,82,1.50602409638554,0.349397590361446,6261,81,14.3308724832215,0.796191553544495,0.471011020603737,476,7715.61038687,16.2092655186345,0.107142857142857,NA,-0.8342810470531974,-0.12291766353428307,0.9889419970903554
little italychinatown,4182,515000,7864,4.1,1.5,NA,NA,NA,NA,NA,99.6666666666667,100,94.6666666666667,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.7402435270039585,0.3523996309870766,-0.6799244571079635
southeast bronx,1626,152000,25529,3.9,0.6,NA,NA,NA,NA,NA,NA,NA,NA,70,1.41428571428571,0.3,2392,59,12.9772434521254,0.831908831908832,0.464046822742475,398,7294.45436646,18.3277747901005,0.0804020100502513,NA,-1.1353606507129865,-0.9922520308181324,0.28977577854761993
east new york,1897,238000,11929,3,2.3,44112.23904,0.5757,0.2413,0.18868,0.63614,84,93,66,169,1.44378698224852,0.27810650887574,7002,82,13.3536206130609,0.818904154941235,0.477435018566124,628,4864.046,7.74529617834395,0.0652866242038217,-1.0449035698495472,-0.47152975965645727,-0.054112879109941135,0.4014317476030904
east bronx,1602,148000,18662,2.8,0.6,51209.337818,NA,NA,NA,NA,NA,NA,NA,70,1.41428571428571,0.3,2392,59,12.9772434521254,0.831908831908832,0.464046822742475,398,7294.45436646,18.3277747901005,0.0804020100502513,NA,-1.1353606507129865,-0.9922520308181324,0.28977577854761993
morningside heights,4181,543000,4037,2.2,2.7,NA,NA,NA,NA,NA,NA,NA,NA,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.5238934602854376,0.3523996309870766,-0.6799244571079635
staten island,1879,221000,9590,2.1,2,96393.5444833333,0.584153333333333,0.450426666666667,0.410433333333333,0.781053333333333,71.3333333333333,65.6666666666667,53,21,3,0.285714285714286,995,52,14.4938524590164,0.789343246592317,0.543718592964824,161,7717.10013571,47.9322989795652,0.173913043478261,0.08536664952532919,-1.277010293944797,0.14087544139557,0.9647309147304198
northwest bronx,2753,195000,9669,1.9,0.7,70478.13368,NA,NA,NA,NA,NA,NA,NA,70,1.41428571428571,0.3,2392,59,12.9772434521254,0.831908831908832,0.464046822742475,398,7294.45436646,18.3277747901005,0.0804020100502513,NA,-1.1353606507129865,-0.9922520308181324,0.28977577854761993
south shore queens,1888,239000,7875,1.9,1.6,76687.975185,NA,NA,NA,NA,NA,NA,NA,82,1.50602409638554,0.349397590361446,6261,81,14.3308724832215,0.796191553544495,0.471011020603737,476,7715.61038687,16.2092655186345,0.107142857142857,NA,-0.8342810470531974,-0.12291766353428307,0.9889419970903554
roosevelt island,4527,423000,3372,1.4,1.2,NA,NA,NA,NA,NA,NA,NA,NA,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.5238934602854376,0.3523996309870766,-0.6799244571079635
